Song Name;Band;Year
Crazy;Aerosmith;1990
With Or Without You;U2;1988
Billie Jean;Michael Jackson;1982
Imagine;John Lennon;1971
Bohemian Rhapsody;Queen;1975
Like a Rolling Stone;Bob Dylan;1965
Shape of You;Ed Sheeran;2017
Smells Like Teen Spirit;Nirvana;1991
Thriller;Michael Jackson;1982
Kiss;Prince;1986
Come As You Are;Nirvana;1991
Hotel California;Eagles;1976
Hey Jude;The Beatles;1968
Stairway to Heaven;Led Zeppelin;1971
I Will Always Love You;Whitney Houston;1992
Born to Run;Bruce Springsteen;1975
Sweet Child o’ Mine;Guns N’ Roses;1987
Purple Rain;Prince;1984
No Woman No Cry;Bob Marley & The Wailers;1975
Hallelujah;Leonard Cohen;1984
Rolling in the Deep;Adele;2010
Someone Like You;Adele;2011
Uptown Funk;Mark Ronson ft. Bruno Mars;2014
Blinding Lights;The Weeknd;2019
Bad Guy;Billie Eilish;2019
All of Me;John Legend;2013
Thinking Out Loud;Ed Sheeran;2014
Shake It Off;Taylor Swift;2014
Lose Yourself;Eminem;2002
Wonderwall;Oasis;1995
Back in Black;AC/DC;1980
Sweet Home Alabama;Lynyrd Skynyrd;1974
Billie Jean;Michael Jackson;1982
Don’t Stop Believin’;Journey;1981
Let It Be;The Beatles;1970
Yesterday;The Beatles;1965
Piano Man;Billy Joel;1973
I Want to Break Free;Queen;1984
Girls Just Want to Have Fun;Cyndi Lauper;1983
Every Breath You Take;The Police;1983
November Rain;Guns N’ Roses;1992
Nothing Else Matters;Metallica;1991
Sultans of Swing;Dire Straits;1978
Don’t Stop Me Now;Queen;1979
Livin’ on a Prayer;Bon Jovi;1986
Eye of the Tiger;Survivor;1982
Sweet Dreams (Are Made of This);Eurythmics;1983
Thriller;Michael Jackson;1982
Billie Jean;Michael Jackson;1982
Waterloo;ABBA;1974
Dancing Queen;ABBA;1976
Mamma Mia;ABBA;1975
Take On Me;a-ha;1985
Africa;Toto;1982
Time After Time;Cyndi Lauper;1983
Every Heartbeat;Amy Grant;1991
Smooth Criminal;Michael Jackson;1987
Under Pressure;Queen & David Bowie;1981
Purple Rain;Prince;1984
I Wanna Dance with Somebody;Whitney Houston;1987
Don’t You (Forget About Me);Simple Minds;1985
With or Without You;U2;1988
Fast Car;Tracy Chapman;1988
Lean on Me;Bill Withers;1972
What’s Going On;Marvin Gaye;1971
Let’s Stay Together;Al Green;1972
Superstition;Stevie Wonder;1972
Rocket Man;Elton John;1972
Tiny Dancer;Elton John;1971
Your Song;Elton John;1970
Candle in the Wind;Elton John;1973
Good Vibrations;The Beach Boys;1966
California Dreamin’;The Mamas & the Papas;1965
Bridge Over Troubled Water;Simon & Garfunkel;1970
The Sound of Silence;Simon & Garfunkel;1965
Hotel California;Eagles;1976
Free Bird;Lynyrd Skynyrd;1973
Brown Eyed Girl;Van Morrison;1967
Ain’t No Sunshine;Bill Withers;1971
What a Wonderful World;Louis Armstrong;1967
My Girl;The Temptations;1965
Light My Fire;The Doors;1967
Break On Through;The Doors;1967
Good Riddance (Time of Your Life);Green Day;1997
Numb;Linkin Park;2003
In the End;Linkin Park;2001
Clocks;Coldplay;2002
Yellow;Coldplay;2000
Viva La Vida;Coldplay;2008
Hips Don’t Lie;Shakira;2006
Rolling in the Deep;Adele;2010
Crazy in Love;Beyoncé ft. Jay-Z;2003
Empire State of Mind;Jay-Z ft. Alicia Keys;2009
Hey, Soul Sister;Train;2009
Radioactive;Imagine Dragons;2012
Counting Stars;OneRepublic;2013
Safe and Sound;Capital Cities;2011
Take Me to Church;Hozier;2013
Royals;Lorde;2013
Happy;Pharrell Williams;2013
Get Lucky;Daft Punk ft. Pharrell Williams;2013
Uptown Funk;Mark Ronson ft. Bruno Mars;2014
